sku_id,sku_name,category,brand,country,year,total_units,total_revenue,avg_daily_demand,std_daily_demand,cv_demand,abc,xyz,abc_xyz,lead_time_days,safety_stock,reorder_point,current_stock,days_of_supply,stockout_days,stockout_rate,status,latest_date
SKU0027,BrandC Chips,Snacks,BrandC,Austria,2023,47329,628585.42,129.6,58.97,0.455,A,X,AX,6.385714285714286,347,1175,314,2.4,9,0.025,REORDER NOW,2023-12-31
SKU0018,BrandF Water,Beverages,BrandF,Austria,2023,38472,558613.44,105.36,37.21,0.353,A,X,AX,6.524615975422427,221,908,336,3.2,7,0.019,REORDER NOW,2023-12-31
SKU0092,BrandB Soap,Personal Care,BrandB,Austria,2023,37196,518884.2,101.91,36.83,0.361,A,X,AX,6.490988223246288,219,880,325,3.2,15,0.041,REORDER NOW,2023-12-31
SKU0057,BrandC Milk,Dairy,BrandC,Austria,2023,33856,474661.12,92.79,30.94,0.333,A,X,AX,6.612538402457758,185,799,375,4.0,7,0.019,REORDER NOW,2023-12-31
SKU0099,BrandC Toothpaste,Personal Care,BrandC,Austria,2023,44994,472312.39,123.31,58.51,0.474,A,X,AX,6.394623655913978,345,1134,327,2.7,12,0.033,REORDER NOW,2023-12-31
SKU0061,BrandA Cheese,Dairy,BrandA,Austria,2023,37933,466575.9,103.96,32.78,0.315,A,X,AX,6.364701740911419,193,855,332,3.2,10,0.027,REORDER NOW,2023-12-31
SKU0100,BrandD Toothpaste,Personal Care,BrandD,Austria,2023,34065,457152.3,93.28,32.51,0.349,A,X,AX,6.3931579621095755,192,788,364,3.9,12,0.033,REORDER NOW,2023-12-31
SKU0064,BrandD Cheese,Dairy,BrandD,Austria,2023,36613,455831.85,100.37,32.55,0.324,A,X,AX,6.620852534562212,195,860,243,2.4,12,0.033,REORDER NOW,2023-12-31
SKU0041,BrandE Biscuits,Snacks,BrandE,Austria,2023,32868,409061.3,90.06,38.03,0.422,A,X,AX,6.554857910906297,227,817,313,3.5,10,0.027,REORDER NOW,2023-12-31
SKU0028,BrandD Chips,Snacks,BrandD,Austria,2023,40731,381649.47,111.52,38.07,0.341,A,X,AX,6.513044034818228,226,952,277,2.5,7,0.019,REORDER NOW,2023-12-31
SKU0097,BrandA Toothpaste,Personal Care,BrandA,Austria,2023,27865,379242.65,76.43,27.03,0.354,A,X,AX,6.484811827956989,160,656,266,3.5,12,0.033,REORDER NOW,2023-12-31
SKU0038,BrandB Biscuits,Snacks,BrandB,Austria,2023,32482,354053.8,88.98,33.87,0.381,A,X,AX,6.2880888376856126,198,758,350,3.9,19,0.052,REORDER NOW,2023-12-31
SKU0005,BrandE Soda,Beverages,BrandE,Austria,2023,40254,353426.13,110.04,54.2,0.493,A,X,AX,6.351689708141321,318,1017,418,3.8,9,0.025,REORDER NOW,2023-12-31
SKU0045,BrandC Nuts,Snacks,BrandC,Austria,2023,26677,333656.07,73.1,34.49,0.472,A,X,AX,6.351760112647209,203,667,234,3.2,15,0.041,REORDER NOW,2023-12-31
SKU0002,BrandB Soda,Beverages,BrandB,Austria,2023,29325,329906.25,80.27,27.14,0.338,A,X,AX,6.4939196108550945,161,682,319,4.0,12,0.033,REORDER NOW,2023-12-31
SKU0044,BrandB Nuts,Snacks,BrandB,Austria,2023,29302,328475.42,80.3,28.29,0.352,A,X,AX,6.429441884280593,167,683,190,2.4,11,0.03,REORDER NOW,2023-12-31
SKU0060,BrandF Milk,Dairy,BrandF,Austria,2023,23412,316062.0,64.12,21.33,0.333,A,X,AX,6.575902457757297,127,549,297,4.6,8,0.022,REORDER NOW,2023-12-31
SKU0001,BrandA Soda,Beverages,BrandA,Austria,2023,53287,310313.33,145.88,71.09,0.487,A,X,AX,6.494022017409114,422,1369,297,2.0,12,0.033,REORDER NOW,2023-12-31
SKU0013,BrandA Water,Beverages,BrandA,Austria,2023,45362,309850.76,124.09,59.77,0.482,A,X,AX,6.627054531490015,359,1181,348,2.8,11,0.03,REORDER NOW,2023-12-31
SKU0047,BrandE Nuts,Snacks,BrandE,Austria,2023,26399,307548.35,72.33,26.07,0.36,A,X,AX,6.48707757296467,155,624,285,3.9,15,0.041,REORDER NOW,2023-12-31
SKU0094,BrandD Soap,Personal Care,BrandD,Austria,2023,24530,305153.2,67.17,24.93,0.371,A,X,AX,6.410490271377369,147,578,257,3.8,15,0.041,REORDER NOW,2023-12-31
SKU0048,BrandF Nuts,Snacks,BrandF,Austria,2023,26747,298298.78,73.19,31.26,0.427,A,X,AX,6.732405273937531,189,682,284,3.9,8,0.022,REORDER NOW,2023-12-31
SKU0020,BrandB Energy drink,Beverages,BrandB,Austria,2023,22691,240070.78,62.12,20.17,0.325,A,X,AX,6.50507552483359,120,524,231,3.7,11,0.03,REORDER NOW,2023-12-31
SKU0074,BrandB Softener,Home Care,BrandB,Austria,2023,26477,236126.18,72.48,33.63,0.464,A,X,AX,6.605702764976958,201,680,363,5.0,13,0.036,REORDER NOW,2023-12-31
SKU0082,BrandD Cleaner,Home Care,BrandD,Austria,2023,23869,235587.03,65.36,22.52,0.345,A,X,AX,6.682398873527906,136,573,142,2.2,10,0.027,REORDER NOW,2023-12-31
SKU0089,BrandE Shampoo,Personal Care,BrandE,Austria,2023,17591,187695.97,48.23,16.86,0.349,A,X,AX,6.629269073220686,101,421,269,5.6,9,0.025,REORDER NOW,2023-12-31
SKU0078,BrandF Softener,Home Care,BrandF,Austria,2023,12185,180338.0,33.36,11.79,0.353,A,X,AX,6.545999743983614,70,288,346,10.4,12,0.033,LOW,2023-12-31
SKU0081,BrandC Cleaner,Home Care,BrandC,Austria,2023,28180,173307.0,77.25,26.09,0.338,A,X,AX,6.541301843317972,156,661,357,4.6,6,0.016,REORDER NOW,2023-12-31
SKU0076,BrandD Softener,Home Care,BrandD,Austria,2023,11937,163775.64,32.7,11.22,0.343,B,X,BX,6.578084997439835,48,263,227,6.9,14,0.038,REORDER NOW,2023-12-31
SKU0049,BrandA Yogurt,Dairy,BrandA,Austria,2023,19462,161923.84,53.34,18.93,0.355,B,X,BX,6.431701228878648,79,422,316,5.9,16,0.044,REORDER NOW,2023-12-31
SKU0007,BrandA Juice,Beverages,BrandA,Austria,2023,12058,152533.7,33.01,11.07,0.335,B,X,BX,6.429352278545827,46,258,316,9.6,12,0.033,LOW,2023-12-31
SKU0080,BrandB Cleaner,Home Care,BrandB,Austria,2023,37339,151521.2,102.33,45.72,0.447,B,X,BX,6.548905529953917,193,863,360,3.5,7,0.019,REORDER NOW,2023-12-31
SKU0009,BrandC Juice,Beverages,BrandC,Austria,2023,26362,138664.12,72.15,25.77,0.357,B,X,BX,6.488165642601126,108,576,120,1.7,12,0.033,REORDER NOW,2023-12-31
SKU0102,BrandF Toothpaste,Personal Care,BrandF,Austria,2023,44430,136952.77,121.67,55.25,0.454,B,X,BX,6.437346390168972,231,1014,280,2.3,6,0.016,REORDER NOW,2023-12-31
SKU0033,BrandC Chocolate,Snacks,BrandC,Austria,2023,27344,134805.92,74.99,24.88,0.332,B,X,BX,6.588037634408603,105,599,325,4.3,8,0.022,REORDER NOW,2023-12-31
SKU0093,BrandC Soap,Personal Care,BrandC,Austria,2023,28419,131011.59,77.8,26.85,0.345,B,X,BX,6.461821556579621,113,616,289,3.7,14,0.038,REORDER NOW,2023-12-31
SKU0010,BrandD Juice,Beverages,BrandD,Austria,2023,19262,127683.9,52.68,23.43,0.445,B,X,BX,6.5288850486431125,99,443,219,4.2,11,0.03,REORDER NOW,2023-12-31
SKU0059,BrandE Milk,Dairy,BrandE,Austria,2023,10089,123590.25,27.63,10.35,0.375,B,X,BX,6.372228622631848,43,219,222,8.0,18,0.049,LOW,2023-12-31
SKU0072,BrandF Detergent,Home Care,BrandF,Austria,2023,14818,117951.28,40.61,13.4,0.33,B,X,BX,6.755542754736303,57,331,246,6.1,13,0.036,REORDER NOW,2023-12-31
SKU0031,BrandA Chocolate,Snacks,BrandA,Austria,2023,18600,112300.08,50.99,23.79,0.467,B,X,BX,6.475595238095238,100,430,220,4.3,10,0.027,REORDER NOW,2023-12-31
SKU0090,BrandF Shampoo,Personal Care,BrandF,Austria,2023,7946,112118.06,21.78,7.98,0.366,B,X,BX,6.612109575012801,34,178,244,11.2,11,0.03,LOW,2023-12-31
SKU0016,BrandD Water,Beverages,BrandD,Austria,2023,12484,110473.84,34.17,16.96,0.496,B,X,BX,6.5088069636456725,71,293,476,13.9,9,0.025,HEALTHY,2023-12-31
SKU0012,BrandF Juice,Beverages,BrandF,Austria,2023,23213,110174.8,63.53,31.15,0.49,B,X,BX,6.451785714285713,131,541,281,4.4,10,0.027,REORDER NOW,2023-12-31
SKU0098,BrandB Toothpaste,Personal Care,BrandB,Austria,2023,19236,103632.49,52.7,24.46,0.464,B,X,BX,6.339656938044034,102,436,268,5.1,14,0.038,REORDER NOW,2023-12-31
SKU0095,BrandE Soap,Personal Care,BrandE,Austria,2023,12205,102766.1,33.46,10.99,0.328,B,X,BX,6.625576036866359,47,269,321,9.6,9,0.025,LOW,2023-12-31
SKU0014,BrandB Water,Beverages,BrandB,Austria,2023,25752,97857.6,70.51,24.04,0.341,B,X,BX,6.631240399385561,102,570,305,4.3,7,0.019,REORDER NOW,2023-12-31
SKU0043,BrandA Nuts,Snacks,BrandA,Austria,2023,19505,97669.78,53.38,24.6,0.461,B,X,BX,6.505139528929852,104,451,168,3.1,11,0.03,REORDER NOW,2023-12-31
SKU0011,BrandE Juice,Beverages,BrandE,Austria,2023,10827,97184.29,29.64,14.6,0.492,B,X,BX,6.304998719918075,60,247,339,11.4,11,0.03,LOW,2023-12-31
SKU0087,BrandC Shampoo,Personal Care,BrandC,Austria,2023,11791,96332.47,32.32,10.49,0.325,B,X,BX,6.599423963133641,44,257,250,7.7,10,0.027,REORDER NOW,2023-12-31
SKU0035,BrandE Chocolate,Snacks,BrandE,Austria,2023,46523,94906.92,127.57,46.85,0.367,B,X,BX,6.485669482846902,197,1024,311,2.4,14,0.038,REORDER NOW,2023-12-31
SKU0046,BrandD Nuts,Snacks,BrandD,Austria,2023,37699,94608.36,103.45,45.54,0.44,B,X,BX,6.614836149513569,193,877,115,1.1,8,0.022,REORDER NOW,2023-12-31
SKU0088,BrandD Shampoo,Personal Care,BrandD,Austria,2023,9229,92566.87,25.28,9.46,0.374,C,X,CX,6.566109831029185,31,197,316,12.5,20,0.055,HEALTHY,2023-12-31
SKU0025,BrandA Chips,Snacks,BrandA,Austria,2023,10643,92061.95,29.15,10.13,0.347,C,X,CX,6.678379416282642,34,229,385,13.2,10,0.027,HEALTHY,2023-12-31
SKU0066,BrandF Cheese,Dairy,BrandF,Austria,2023,13997,89652.56,38.32,17.54,0.458,C,X,CX,6.481758832565284,57,305,201,5.2,7,0.019,REORDER NOW,2023-12-31
SKU0096,BrandF Soap,Personal Care,BrandF,Austria,2023,38102,87634.6,104.45,35.42,0.339,C,X,CX,6.415111367127497,115,785,339,3.2,11,0.03,REORDER NOW,2023-12-31
SKU0083,BrandE Cleaner,Home Care,BrandE,Austria,2023,36060,81495.6,98.72,35.33,0.358,C,X,CX,6.519156426011264,115,759,362,3.7,15,0.041,REORDER NOW,2023-12-31
SKU0004,BrandD Soda,Beverages,BrandD,Austria,2023,40547,73390.07,111.02,42.61,0.384,C,X,CX,6.397606246799795,138,848,312,2.8,17,0.047,REORDER NOW,2023-12-31
SKU0077,BrandE Softener,Home Care,BrandE,Austria,2023,24979,71410.22,68.42,31.73,0.464,C,X,CX,6.53115719406042,104,551,226,3.3,19,0.052,REORDER NOW,2023-12-31
SKU0039,BrandC Biscuits,Snacks,BrandC,Austria,2023,5906,69690.8,16.18,5.38,0.332,C,X,CX,6.479505888376856,18,123,355,21.9,10,0.027,HEALTHY,2023-12-31
SKU0101,BrandE Toothpaste,Personal Care,BrandE,Austria,2023,6941,65163.26,19.02,9.38,0.493,C,X,CX,6.558128520225295,31,156,182,9.6,17,0.047,LOW,2023-12-31
SKU0022,BrandD Energy drink,Beverages,BrandD,Austria,2023,43162,63879.76,118.22,38.64,0.327,C,X,CX,6.578961853558628,127,905,299,2.5,11,0.03,REORDER NOW,2023-12-31
SKU0006,BrandF Soda,Beverages,BrandF,Austria,2023,50586,62168.45,138.43,62.79,0.454,C,X,CX,6.334165386584741,202,1079,152,1.1,8,0.022,REORDER NOW,2023-12-31
SKU0084,BrandF Cleaner,Home Care,BrandF,Austria,2023,9736,53450.64,26.68,9.09,0.341,C,X,CX,6.547983870967742,30,205,372,13.9,9,0.025,HEALTHY,2023-12-31
SKU0040,BrandD Biscuits,Snacks,BrandD,Austria,2023,8702,49514.52,23.81,11.65,0.489,C,X,CX,6.365873015873016,38,190,291,12.2,15,0.041,HEALTHY,2023-12-31
SKU0056,BrandB Milk,Dairy,BrandB,Austria,2023,10333,49231.24,28.29,13.33,0.471,C,X,CX,6.49029057859703,43,227,360,12.7,15,0.041,HEALTHY,2023-12-31
SKU0015,BrandC Water,Beverages,BrandC,Austria,2023,5079,47183.91,13.92,4.67,0.335,C,X,CX,6.68294930875576,15,108,362,26.0,8,0.022,HEALTHY,2023-12-31
SKU0091,BrandA Soap,Personal Care,BrandA,Austria,2023,8454,45698.62,23.16,11.09,0.479,C,X,CX,6.327675371223759,36,183,301,13.0,15,0.041,HEALTHY,2023-12-31
SKU0085,BrandA Shampoo,Personal Care,BrandA,Austria,2023,29588,43881.97,81.04,38.26,0.472,C,X,CX,6.491442652329749,125,651,266,3.3,17,0.047,REORDER NOW,2023-12-31
SKU0067,BrandA Detergent,Home Care,BrandA,Austria,2023,16111,43177.48,44.15,15.54,0.352,C,X,CX,6.4468766001024065,51,336,298,6.7,13,0.036,REORDER NOW,2023-12-31
SKU0051,BrandC Yogurt,Dairy,BrandC,Austria,2023,28438,40950.72,77.84,27.14,0.349,C,X,CX,6.398463901689708,88,586,343,4.4,11,0.03,REORDER NOW,2023-12-31
SKU0008,BrandB Juice,Beverages,BrandB,Austria,2023,11146,39568.3,30.51,10.66,0.35,C,X,CX,6.610381464413723,35,237,374,12.3,11,0.03,HEALTHY,2023-12-31
SKU0062,BrandB Cheese,Dairy,BrandB,Austria,2023,7111,38754.95,19.49,6.59,0.338,C,X,CX,6.455792370711726,21,147,276,14.2,8,0.022,HEALTHY,2023-12-31
SKU0086,BrandB Shampoo,Personal Care,BrandB,Austria,2023,3665,36524.62,10.04,4.26,0.425,C,X,CX,6.339324116743472,14,78,241,24.0,9,0.025,HEALTHY,2023-12-31
SKU0042,BrandF Biscuits,Snacks,BrandF,Austria,2023,5603,31544.89,15.34,5.16,0.336,C,X,CX,6.60033922171019,17,118,345,22.5,10,0.027,HEALTHY,2023-12-31
SKU0003,BrandC Soda,Beverages,BrandC,Austria,2023,9680,30782.4,26.49,9.32,0.352,C,X,CX,6.4060547875064,30,200,251,9.5,6,0.016,LOW,2023-12-31
SKU0029,BrandE Chips,Snacks,BrandE,Austria,2023,12753,26778.85,34.93,16.99,0.486,C,X,CX,6.571178955453149,56,286,286,8.2,16,0.044,REORDER NOW,2023-12-31
SKU0065,BrandE Cheese,Dairy,BrandE,Austria,2023,25596,26616.77,70.01,34.05,0.486,C,X,CX,6.482014848950333,111,565,206,2.9,14,0.038,REORDER NOW,2023-12-31
SKU0030,BrandF Chips,Snacks,BrandF,Austria,2023,15773,25709.99,43.22,15.2,0.352,C,X,CX,6.497612647209421,50,331,275,6.4,12,0.033,REORDER NOW,2023-12-31
SKU0055,BrandA Milk,Dairy,BrandA,Austria,2023,5895,24759.0,16.15,5.5,0.34,C,X,CX,6.568413978494623,18,124,320,19.8,9,0.025,HEALTHY,2023-12-31
